customer_id,avg_delay,median_delay,std_delay,invoice_count
C001,-0.5454545454545454,-1.0,1.2933395813657265,11
C002,0.5454545454545454,0.0,1.5075567228888183,11
C003,11.285714285714286,11.5,2.5548918817579205,14
C004,3.3333333333333335,3.5,1.3026778945578592,12
C005,3.1739130434782608,3.0,1.1928641587313162,23
C006,4.142857142857143,4.0,0.9492622930986467,14
C007,0.6153846153846154,1.0,1.1929278784054478,13
C008,0.5,0.5,1.0801234497346435,10
C009,16.08,18.0,11.269131880199705,25
C010,0.2222222222222222,1.0,1.3017082793177757,9
C011,0.2727272727272727,1.0,1.5550504230351563,11
C012,-0.75,-1.0,1.2154310870109943,12
C013,4.25,4.5,0.8660254037844386,12
C014,4.0,4.0,0.6324555320336759,6
C015,-0.5,-1.0,1.5055453054181618,16
C016,3.6875,4.0,1.0144785195688801,16
C017,11.777777777777779,7.0,7.8545811119654525,9
C018,3.4,3.0,1.0749676997731399,10
C019,13.941176470588236,16.0,13.320428804261962,17
C020,11.133333333333333,12.0,2.065591117977289,15
C021,0.3333333333333333,0.0,1.4960264830861911,15
C022,3.6666666666666665,3.5,1.1547005383792515,12
C023,16.76923076923077,15.0,8.603815492305785,13
C024,11.105263157894736,11.0,2.5580968803238875,19
C025,12.1875,12.0,2.1975364995072697,16
C026,3.3636363636363638,4.0,1.2060453783110547,11
C027,4.0,4.5,1.1094003924504583,14
C028,10.7,11.0,1.9465068427541912,10
C029,0.0625,0.0,1.2893796958227628,16
C030,0.2857142857142857,1.0,1.3469542361512192,21
C031,17.642857142857142,18.5,7.088529660462227,14
C032,0.16666666666666666,0.0,1.2673044646258473,12
C033,11.071428571428571,11.0,2.84102597162162,14
C034,11.090909090909092,11.0,2.1191765124474857,11
C035,11.727272727272727,12.0,1.902151891459201,11
C036,0.3333333333333333,1.0,1.5430334996209192,15
C037,12.357142857142858,12.0,11.76439964048735,14
C038,0.0625,0.0,1.4818344486930155,16
C039,17.555555555555557,19.0,6.064468466220084,9
C040,-0.47368421052631576,-1.0,1.4286131990551607,19
C041,11.357142857142858,11.5,2.4371213428059835,14
C042,11.866666666666667,12.0,2.3864697976798483,15
C043,4.055555555555555,4.5,1.1099667309387473,18
C044,0.42857142857142855,0.5,1.5045717874984443,14
C045,-0.05263157894736842,0.0,1.223550580642996,19
C046,3.4545454545454546,4.0,0.9341987329938275,11
C047,12.285714285714286,12.0,2.2168188275738085,21
C048,0.3333333333333333,0.0,0.7071067811865476,9
C049,3.5625,3.5,1.2093386622447824,16
C050,-0.4,-1.0,1.5491933384829668,15
