invoice_id,customer_id,payment_delay_days,baseline_prediction,ml_prediction,baseline_error,ml_error
AR0035,C047,15,12.294117647058824,11.097472229445476,2.7058823529411757,3.9025277705545243
AR0426,C029,-1,0.4166666666666667,1.2129892849335495,1.4166666666666667,2.2129892849335495
AR0628,C042,8,12.142857142857142,10.8237899234814,4.142857142857142,2.8237899234813995
AR0646,C038,0,0.1538461538461538,0.4325995664176765,0.1538461538461538,0.4325995664176765
AR0598,C003,9,11.75,10.572149765900825,2.75,1.572149765900825
AR0399,C021,2,0.5555555555555556,0.6700664943954555,1.4444444444444444,1.3299335056045445
AR0689,C047,13,12.444444444444445,11.159845678022489,0.5555555555555554,1.8401543219775114
AR0142,C049,5,3.6666666666666665,3.1572454967080272,1.3333333333333335,1.8427545032919728
AR0566,C021,0,0.7,1.0278251864294259,0.7,1.0278251864294259
AR0102,C025,12,12.909090909090908,11.398331629531473,0.9090909090909083,0.6016683704685271
AR0208,C005,2,3.210526315789474,2.9512094858780986,1.210526315789474,0.9512094858780986
AR0099,C012,-2,-0.8,-0.10394291492213403,1.2,1.896057085077866
AR0488,C050,0,-0.5,0.7823287642938407,0.5,0.7823287642938407
AR0425,C030,-2,0.7333333333333333,0.5953520485878063,2.7333333333333334,2.5953520485878063
AR0548,C038,-1,0.1428571428571428,0.4149770886809049,1.1428571428571428,1.4149770886809048
AR0288,C032,-1,0.2,0.7180715189248049,1.2,1.718071518924805
AR0662,C046,2,3.75,3.5533523817282244,1.75,1.5533523817282244
AR0141,C025,8,12.833333333333334,11.468060117190173,4.833333333333334,3.4680601171901735
AR0337,C014,3,4.333333333333333,4.699050462368967,1.333333333333333,1.6990504623689668
AR0540,C041,10,11.4,9.792782488376407,1.4000000000000004,0.20721751162359325
AR0214,C020,12,11.090909090909092,10.166407486299846,0.9090909090909083,1.8335925137001539
AR0029,C002,-1,0.4285714285714285,1.6232620552427373,1.4285714285714284,2.623262055242737
AR0346,C033,15,11.0,9.883882962115628,4.0,5.116117037884372
AR0167,C005,3,3.15,2.812495809221451,0.1499999999999999,0.18750419077854907
AR0150,C026,2,3.1666666666666665,3.7177953713166763,1.1666666666666665,1.7177953713166763
AR0424,C040,1,-0.4666666666666667,0.3627270855555126,1.4666666666666668,0.6372729144444874
AR0220,C045,0,0.0,-0.313127137999358,0.0,0.313127137999358
AR0227,C020,12,11.166666666666666,9.933015321667046,0.8333333333333339,2.066984678332954
AR0439,C009,0,15.95,13.60250328428744,15.95,13.60250328428744
AR0100,C007,0,0.3333333333333333,0.8927534840668397,0.3333333333333333,0.8927534840668397
AR0354,C025,12,12.461538461538462,10.71906806095675,0.4615384615384617,1.2809319390432492
AR0258,C013,3,4.25,3.9902655221350747,1.25,0.9902655221350747
AR0434,C044,0,0.5,0.7772947845984715,0.5,0.7772947845984715
AR0685,C029,-2,0.3076923076923077,0.9700550349798314,2.3076923076923075,2.9700550349798314
AR0169,C044,-2,0.4545454545454545,1.5121685789926185,2.4545454545454546,3.5121685789926183
AR0583,C013,5,4.111111111111111,4.15412870340446,0.8888888888888893,0.84587129659554
AR0459,C013,4,4.2,3.566693461873313,0.20000000000000018,0.4333065381266872
AR0427,C021,2,0.6363636363636364,0.6964599609621324,1.3636363636363638,1.3035400390378675
AR0074,C019,16,13.285714285714286,13.081282774261012,2.7142857142857135,2.9187172257389875
AR0114,C038,0,0.0666666666666666,0.49234984701503914,0.0666666666666666,0.49234984701503914
AR0653,C048,1,0.25,0.9349595349280042,0.75,0.06504046507199579
AR0163,C011,-2,0.6666666666666666,0.9678671118716657,2.6666666666666665,2.9678671118716657
AR0251,C041,11,11.272727272727272,9.831494357634732,0.2727272727272716,1.1685056423652682
AR0374,C002,0,0.25,1.289734236238882,0.25,1.289734236238882
AR0474,C036,1,0.0909090909090909,0.7346111461471058,0.9090909090909091,0.26538885385289424
AR0319,C021,-2,0.75,0.6882585333631214,2.75,2.6882585333631215
AR0640,C012,1,-0.9090909090909092,-0.027596445586874907,1.9090909090909092,1.027596445586875
AR0454,C029,1,0.1428571428571428,0.4165257919659697,0.8571428571428572,0.5834742080340303
AR0587,C021,-1,0.5384615384615384,0.3331895326803592,1.5384615384615383,1.3331895326803593
AR0481,C001,-1,-0.5,0.5302595394109946,0.5,1.5302595394109946
AR0651,C024,11,10.875,10.377922432538917,0.125,0.6220775674610834
AR0588,C026,4,3.0,4.381342360724296,1.0,0.38134236072429584
AR0619,C007,2,0.2857142857142857,1.3628604566795288,1.7142857142857144,0.6371395433204712
AR0472,C029,-2,0.2,0.2886135848659239,2.2,2.288613584865924
AR0449,C050,2,-0.4545454545454545,0.438725329680445,2.4545454545454546,1.561274670319555
AR0287,C025,11,12.428571428571429,11.13004885588196,1.4285714285714288,0.13004885588195947
AR0318,C002,2,0.2222222222222222,1.2816850205755137,1.7777777777777777,0.7183149794244863
AR0215,C037,1,13.833333333333334,12.779377650174219,12.833333333333334,11.779377650174219
AR0149,C009,-4,15.19047619047619,12.158125788395825,19.19047619047619,16.158125788395825
AR0477,C041,9,11.25,9.973889866036274,2.25,0.9738898660362736
AR0373,C036,2,0.1666666666666666,0.37455867198399284,1.8333333333333335,1.6254413280160072
AR0549,C043,4,3.857142857142857,3.5467564507137292,0.1428571428571428,0.45324354928627075
AR0451,C045,-1,0.0,0.2732537463375023,1.0,1.2732537463375024
AR0274,C022,5,3.4,3.89040380841448,1.6,1.1095961915855201
AR0223,C017,7,13.4,14.875541457214954,6.4,7.875541457214954
AR0546,C009,29,14.318181818181818,12.862636403277879,14.681818181818182,16.13736359672212
AR0007,C010,1,0.125,0.265313629629503,0.875,0.734686370370497
AR0417,C021,-1,0.4285714285714285,0.5374443080818878,1.4285714285714284,1.5374443080818878
AR0414,C050,1,-0.25,0.5011804227612997,1.25,0.4988195772387003
AR0031,C046,3,3.555555555555556,2.9236648852134812,0.5555555555555558,0.07633511478651878
AR0479,C002,2,0.4,1.3292836674432844,1.6,0.6707163325567156
AR0280,C049,2,3.769230769230769,3.4604244060728186,1.7692307692307692,1.4604244060728186
AR0077,C006,4,4.4,4.03810579828187,0.40000000000000036,0.038105798281869774
AR0301,C015,2,-0.6666666666666666,-0.17751479391621128,2.6666666666666665,2.1775147939162114
AR0174,C024,15,10.882352941176473,10.689575375511172,4.117647058823527,4.310424624488828
AR0289,C030,1,0.5625,0.08966341440360404,0.4375,0.910336585596396
AR0553,C040,1,-0.375,0.18979517733019902,1.375,0.810204822669801
AR0012,C050,-2,-0.1538461538461538,0.04654266413811481,1.8461538461538463,2.046542664138115
AR0460,C004,4,3.2222222222222223,3.5672299068002893,0.7777777777777777,0.4327700931997107
AR0349,C030,-2,0.5882352941176471,-0.06446685125029294,2.588235294117647,1.9355331487497072
AR0151,C006,3,4.363636363636363,4.372887605284091,1.3636363636363633,1.3728876052840908
AR0490,C022,5,3.5454545454545454,3.801895153094257,1.4545454545454546,1.1981048469057431
AR0063,C043,5,3.8666666666666663,3.249572897124869,1.1333333333333337,1.7504271028751308
AR0423,C005,2,3.142857142857143,2.8267828026382733,1.1428571428571428,0.8267828026382733
AR0442,C006,5,4.25,4.259761933040008,0.75,0.740238066959992
AR0410,C023,4,17.833333333333332,19.001110656671997,13.833333333333332,15.001110656671997
AR0172,C033,8,11.307692307692308,9.590193641119495,3.3076923076923084,1.5901936411194946
